adlink@ava-platform:~$ /bin/python3 /home/adlink/Desktop/rosbag2_py_ana.py
[INFO] [1709534132.430326408] [rosbag2_storage]: Opened database '/home/adlink/1rosbag2_2023_07_04-17_14_26/rosbag2_2023_07_04-17_14_26_0.db3' for READ_ONLY.
Topic: /control/trajectory_follower/lane_departure_checker_node/debug/marker_array, Total Size: 1.71 MB
Topic: /planning/scenario_planning/parking/is_completed, Total Size: 0.00 MB
Topic: /planning/scenario_planning/parking/freespace_planner/debug/partial_pose_array, Total Size: 0.00 MB
Topic: /planning/scenario_planning/parking/costmap_generator/occupancy_grid, Total Size: 0.00 MB
Topic: /initialpose, Total Size: 0.00 MB
Topic: /perception/traffic_light_recognition/debug/rois, Total Size: 2171.37 MB
Topic: /perception/traffic_light_recognition/debug/rois/theora, Total Size: 2.91 MB
Topic: /map/pointcloud_map, Total Size: 141.63 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/intersection, Total Size: 0.41 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/output/stop_reason, Total Size: 0.05 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/stop_line, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/merge_from_private, Total Size: 0.00 MB
Topic: /perception/obstacle_segmentation/pointcloud, Total Size: 28.61 MB
Topic: /perception/traffic_light_recognition/debug/rois/compressed, Total Size: 163.71 MB
Topic: /perception/traffic_light_recognition/debug/rois/compressedDepth, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/walkway, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/blind_spot, Total Size: 0.08 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/stop_line, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/traffic_light, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/obstacle_velocity_limiter/output/runtime_microseconds, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/detection_area, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/merge_from_private, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/crosswalk, Total Size: 1.52 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/detection_area, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/intersection, Total Size: 4.53 MB
Topic: /localization/util/downsample/pointcloud, Total Size: 4.84 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/crosswalk, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/debug_markers, Total Size: 6.20 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/no_stopping_area, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/virtual_traffic_light, Total Size: 0.00 MB
Topic: /perception/traffic_light_recognition/traffic_signals/markers, Total Size: 0.18 MB
Topic: /lidar4/pointcloud, Total Size: 2745.68 MB
Topic: /sensing/camera/traffic_light/image_raw, Total Size: 3559.62 MB
Topic: /planning/mission_planning/echo_back_goal_pose, Total Size: 0.00 MB
Topic: /diagnostics_agg, Total Size: 14.01 MB
Topic: /diagnostics_toplevel_state, Total Size: 0.02 MB
Topic: /sensing/lidar/top/outlier_filtered/pointcloud, Total Size: 170.54 MB
Topic: /localization/pose_twist_fusion_filter/pose, Total Size: 0.14 MB
Topic: /localization/pose_estimator/points_aligned_no_ground, Total Size: 0.00 MB
Topic: /localization/pose_estimator/ndt_marker, Total Size: 2.91 MB
Topic: /perception/object_recognition/detection/clustering/debug/clusters, Total Size: 3.66 MB
Topic: /localization/pose_twist_fusion_filter/debug/measured_pose, Total Size: 0.07 MB
Topic: /localization/pose_twist_fusion_filter/kinematic_state, Total Size: 1.35 MB
Topic: /localization/pose_with_covariance, Total Size: 0.69 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/walkway, Total Size: 0.00 MB
Topic: /localization/debug/ellipse_marker, Total Size: 0.45 MB
Topic: /lidar2/pointcloud, Total Size: 2526.52 MB
Topic: /sensing/lidar/left/self_cropped/pointcloud_ex, Total Size: 0.00 MB
Topic: /control/trajectory_follower/controller_node_exe/output/debug_marker, Total Size: 0.22 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/pullover, Total Size: 0.00 MB
Topic: /perception/object_recognition/detection/clustering/short_distance_crop_box_range/crop_box_polygon, Total Size: 0.09 MB
Topic: /planning/planning_validator/output/markers, Total Size: 0.00 MB
